,0
0,-1.0
1,0.0
2,-2.0
3,0.0
4,0.0
5,0.0
6,0.0
7,3.0
8,-1.0
9,-3.0
10,-2.0
11,-1.0
12,-12.0
13,0.0
14,8.0
15,2.0
16,-5.0
17,-5.0
18,-1.0
19,-2.0
20,-2.0
21,0.0
22,-2.0
23,-1.0
24,-5.0
25,8.0
26,0.0
27,-3.0
28,0.0
29,0.0
30,0.0
31,0.0
32,-1.0
33,0.0
34,-11.0
35,-1.0
36,0.0
37,0.0
38,-2.0
39,0.0
40,0.0
41,-1.0
42,0.0
43,-3.0
44,1.0
45,0.0
46,-1.0
47,-1.0
48,-4.0
49,0.0
50,-1.0
51,-1.0
52,0.0
53,-10.0
54,0.0
55,1.0
56,0.0
57,-1.0
58,-3.0
59,-2.0
60,-5.0
61,-5.0
62,0.0
63,-1.0
64,0.0
65,-2.0
66,15.0
67,-2.0
68,-2.0
69,-1.0
70,-5.0
71,0.0
72,-1.0
73,-1.0
74,-5.0
75,0.0
76,-1.0
77,0.0
78,1.0
79,-1.0
80,0.0
81,4.0
82,2.0
83,2.0
84,0.0
85,1.0
86,1.0
87,-2.0
88,-3.0
89,-2.0
90,-1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,-4.0
96,1.0
97,6.0
98,3.0
99,-1.0
100,0.0
101,-9.0
102,-1.0
103,0.0
104,8.0
105,-1.0
106,12.0
107,0.0
108,0.0
109,4.0
110,-1.0
111,0.0
112,-3.0
113,0.0
114,8.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,2.0
121,1.0
122,1.0
123,-1.0
124,0.0
125,1.0
126,0.0
127,11.0
128,0.0
129,0.0
130,-3.0
131,-3.0
132,4.0
133,1.0
134,0.0
135,-1.0
136,-1.0
137,0.0
138,1.0
139,-17.0
140,-6.0
141,-2.0
142,-1.0
143,0.0
144,0.0
145,1.0
146,-7.0
147,0.0
148,-2.0
149,0.0
150,0.0
151,0.0
152,-1.0
153,-1.0
154,-1.0
155,-6.0
156,0.0
157,0.0
158,0.0
159,0.0
160,4.0
161,8.0
162,-6.0
163,0.0
164,-1.0
165,-1.0
166,2.0
167,-1.0
168,-1.0
169,2.0
170,-1.0
171,-2.0
172,-2.0
173,2.0
174,5.0
175,-1.0
176,4.0
177,0.0
178,-1.0
179,-2.0
180,7.0
181,1.0
182,0.0
183,0.0
184,0.0
185,1.0
186,2.0
187,0.0
188,1.0
189,-14.0
190,-1.0
191,0.0
192,1.0
193,0.0
194,-2.0
195,-3.0
196,0.0
197,-1.0
198,2.0
199,0.0
200,-2.0
201,-1.0
202,-2.0
203,0.0
204,-1.0
205,-11.0
206,0.0
207,-1.0
208,1.0
209,4.0
210,0.0
211,0.0
212,1.0
213,3.0
214,-25.0
215,-1.0
216,9.0
217,-1.0
218,0.0
219,2.0
220,0.0
221,0.0
222,0.0
223,0.0
224,4.0
225,-4.0
226,8.0
227,0.0
228,0.0
229,4.0
230,0.0
231,0.0
232,0.0
233,-2.0
234,-3.0
235,-2.0
236,1.0
237,-1.0
238,4.0
239,1.0
240,-1.0
241,1.0
242,-1.0
243,0.0
244,0.0
245,-1.0
246,7.0
247,-1.0
248,0.0
249,2.0
250,0.0
251,0.0
252,-4.0
253,0.0
254,-1.0
255,-2.0
256,0.0
257,-4.0
258,1.0
259,-2.0
260,0.0
261,-3.0
262,0.0
263,0.0
264,0.0
265,-1.0
266,0.0
267,-5.0
268,0.0
269,7.0
270,0.0
271,0.0
272,0.0
273,3.0
274,1.0
275,0.0
276,1.0
277,-1.0
278,1.0
279,-1.0
280,-1.0
281,6.0
282,0.0
283,0.0
284,0.0
285,1.0
286,-4.0
287,4.0
288,14.0
289,1.0
290,1.0
291,9.0
292,-1.0
293,-3.0
294,1.0
295,-13.0
296,-1.0
297,-3.0
298,1.0
299,0.0
300,-11.0
301,-6.0
302,2.0
303,-2.0
304,1.0
305,-3.0
306,1.0
307,0.0
308,5.0
309,1.0
310,-4.0
311,0.0
312,-4.0
313,5.0
314,-3.0
315,0.0
316,0.0
317,-1.0
318,2.0
319,12.0
320,-1.0
321,0.0
322,-3.0
323,3.0
324,3.0
325,1.0
326,0.0
327,-1.0
328,-12.0
329,-4.0
330,0.0
331,3.0
332,-1.0
333,1.0
334,3.0
335,-1.0
336,-1.0
337,-1.0
338,-27.0
339,0.0
340,-1.0
341,0.0
342,2.0
343,-1.0
344,-1.0
345,1.0
346,0.0
347,0.0
348,16.0
349,-1.0
350,0.0
351,-1.0
352,-6.0
353,0.0
354,-1.0
355,-1.0
356,-7.0
357,1.0
358,0.0
359,-2.0
360,0.0
361,0.0
362,7.0
363,0.0
364,-9.0
365,11.0
366,-1.0
367,-2.0
368,0.0
369,1.0
370,0.0
371,0.0
372,0.0
373,-1.0
374,3.0
